event_title,volume_usd,month
Will the Nets or the Bucks win their NBA Conference Semifinals Series?,195908.43945199996,2021-06-01 00:00:00.000 UTC
Will $LINK (Chainlink) be above $27 on July 1?,181217.698876,2021-06-01 00:00:00.000 UTC
Others,4.235430521472e+06,2021-07-01 00:00:00.000 UTC
"Will Donald Trump be President of the USA on September 30, 2021?",862274.7465619999,2021-07-01 00:00:00.000 UTC
"Will Cardano support smart contracts on Mainnet by October 1st, 2021?",710851.2830100001,2021-07-01 00:00:00.000 UTC
"Will the US have more than 100,000 new daily COVID-19 cases before January 1, 2022?",592952.6396840002,2021-07-01 00:00:00.000 UTC
Will Eric Adams win the Democratic primary for Mayor of New York City in 2021?,438622.5274779998,2021-07-01 00:00:00.000 UTC
What will the price of $ETH be on July 19?,413379.98376599996,2021-07-01 00:00:00.000 UTC
Who will win UFC 264: McGregor vs. Poirier?,362601.00694799994,2021-07-01 00:00:00.000 UTC
"Will EIP-1559 be implemented live on Ethereum mainnet by 10 AM ET on August 5, 2021?",330257.5470479999,2021-07-01 00:00:00.000 UTC
Will the Bucks win the 2021 NBA Finals?,281156.64873,2021-07-01 00:00:00.000 UTC
Will Facebook report having more than 3.6 billion Monthly Active People in Q2 2021?,253112.20773199998,2021-07-01 00:00:00.000 UTC
"Will Joe Biden be President of the USA on September 30, 2021?",235915.178254,2021-07-01 00:00:00.000 UTC
Will Kanye West’s album DONDA be released by July 23?,213056.45849599998,2021-07-01 00:00:00.000 UTC
Will the Suns win the 2021 NBA Finals?,206789.27071000004,2021-07-01 00:00:00.000 UTC
How many new US residential sales will the U.S. Census Bureau report for June?,199912.997184,2021-07-01 00:00:00.000 UTC
(Live Trading) Will England or Italy win the Euro 2020 final?,197855.40891799994,2021-07-01 00:00:00.000 UTC
Will England win the Euro 2020?,171099.909238,2021-07-01 00:00:00.000 UTC
"Will Iron Finance V2’s TVL be above $500m on August 1, 2021?",148029.17826800002,2021-07-01 00:00:00.000 UTC
Will $ETH (Ethereum) be above $2500 on July 22?,142160.73993999997,2021-07-01 00:00:00.000 UTC
(In-Game Trading) Who will win Bucks v. Suns: NBA Finals Game 2?,137608.41250799998,2021-07-01 00:00:00.000 UTC
"Will Nancy Pelosi, Hillary Clinton, Bill Clinton, or Hunter Biden be charged with a federal crime by October 1?",130254.172888,2021-07-01 00:00:00.000 UTC
Others,2.0858001544539987e+06,2021-08-01 00:00:00.000 UTC
"Will the US have more than 200,000 new daily COVID-19 cases on or before October 1, 2021? ",1.67186797233e+06,2021-08-01 00:00:00.000 UTC
"Will Cardano support smart contracts on Mainnet by October 1st, 2021?",819098.4315840001,2021-08-01 00:00:00.000 UTC
Will Jake Paul or Tyron Woodley win their boxing match?,424023.952284,2021-08-01 00:00:00.000 UTC
Will a hurricane make landfall in the US lower 48 states before September 1?,389345.8023159999,2021-08-01 00:00:00.000 UTC
"Will Britney Spears' father be removed or resign from her conservatorship by October 1, 2021?",311789.816676,2021-08-01 00:00:00.000 UTC
Will any of the COVID vaccines be granted full FDA approval by September 1?,276731.228068,2021-08-01 00:00:00.000 UTC
"Will Joe Biden be President of the USA on September 30, 2021?",275251.7436739999,2021-08-01 00:00:00.000 UTC
Will Kanye West’s DONDA sell more than 250K album units in its first week?,211556.474158,2021-08-01 00:00:00.000 UTC
"Will Cardano ($ADA) break $3 before January 1, 2022?",210251.38571199993,2021-08-01 00:00:00.000 UTC
"Will the United States report a record high 7-day COVID-19 case average before January 1, 2022?",203621.18588,2021-08-01 00:00:00.000 UTC
"Will Kanye West’s album DONDA be released by August 7, 2021?",200129.83870999995,2021-08-01 00:00:00.000 UTC
"Will Donald Trump be President of the USA on September 30, 2021?",186067.26786,2021-08-01 00:00:00.000 UTC
Who will come in 2nd place in the 2021 California recall election?,163421.99598,2021-08-01 00:00:00.000 UTC
Will more than 2.3 million people travel through a TSA checkpoint on any day on or before September 15?,151271.26970799992,2021-08-01 00:00:00.000 UTC
"What will the price of $MATIC be on September 3, 2021? ",129457.83806600003,2021-08-01 00:00:00.000 UTC
Will Joe Biden's approval rating be 49.0% or higher on September 1?,110539.12634799998,2021-08-01 00:00:00.000 UTC
"Will EIP-1559 be implemented live on Ethereum mainnet by 10 AM ET on August 5, 2021?",90221.298718,2021-08-01 00:00:00.000 UTC
"Will Gavin Newsom be Governor of California on December 31, 2021?",88357.442586,2021-08-01 00:00:00.000 UTC
"Will Donald Trump be President of the USA on November 30, 2021? ",86602.88902399997,2021-08-01 00:00:00.000 UTC
Others,2.5118021081159995e+06,2021-09-01 00:00:00.000 UTC
